Product Category,Thai Chau (thaichau.vn),Hung Phu (bactham.vn),Aritex (aritex.com.vn)
Nonwoven Geotextile,"APT 7-80kN/m
100% PP, needle-punched
Korean technology","ART 7-28kN/m
Standard & Type D
Distributor","ART 7-28kN/m
Standard, Type D, Custom
Manufacturer"
Woven Geotextile,"DML
100% Polyester
Automatic line","GET 10-300 kN/m
PP/PET
Distributor","GET 10-300 kN/m
PP/PET
Manufacturer"
HDPE Geomembrane,"0.3-3.0mm
>0.94g/cm3
Manufacturer","HSE 0.3-2.0mm
Aritex brand
Authorized dealer","HSE 0.3-2.0mm
1st & largest VN manufacturer
8m width"
Prefabricated Vertical Drain,"VID/RID
Vertical & Horizontal
Manufacturer","Wick drain
Service provider","VID 75, RID 75, RID 4.0
VID 4.5, RID 200, RID 300
Manufacturer"
Geosynthetic Clay Liner,"APT GCL
Needle-punched
Manufacturer",Not available,"ART 3000/4000/4700
3-layer: fabric + bentonite
Manufacturer"
Geogrid,"PP, PET, Fiberglass
Uniaxial, Biaxial
Manufacturer",Not available,"Uniaxial, Biaxial, Fiberglass
Soil reinforcement"
Geocell,"HDPE welded
Slope protection
Manufacturer",Not available,"Acel - HDPE
Carbon black >=1.5%
Density >=0.94"
Gabion / Reno Mattress,Not available,"Gabion
Mesh 6-12cm
Galvanized / PVC
Manufacturer (120 T/month)",Not available
Geotextile Tube,"PET/PP high-strength
Marine, UV resistant
Manufacturer",Not available,"50x11.2m (tube)
10x4.4m (bag)
ISO 9001"
Fabric Planting Bag,Not available,"With handle
T20-T80
Combo 20 pcs",Not available
